layer,distance,elevation
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,35.083693382602,23.8885746002197
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,35.7657460216149,24.2537822723389
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,36.4956790403164,24.7213611602783
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,37.1777316793293,25.1110439300537
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,37.9076646980308,25.5623683929443
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,38.5897173370437,25.8219356536865
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,39.3196503557452,26.5050792694092
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,40.0017029947581,26.6335220336914
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,40.7316360134596,27.1053009033203
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,41.4615690321611,27.6229343414307
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,42.1436216711741,27.7909755706787
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,42.8735546898756,28.357177734375
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,43.5556073288885,28.773042678833
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,44.28554034759,28.9526195526123
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,44.9675929866029,29.4095211029053
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,45.6975260053044,29.786060333252
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,46.3795786443173,30.2483673095703
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,47.1095116630188,30.695743560791
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,47.7915643020317,31.179759979248
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,48.5214973207332,31.3998775482178
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,49.2035499597461,31.8458061218262
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,49.9334829784476,32.1392402648926
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,50.6155356174605,32.6370506286621
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,51.345468636162,33.0922203063965
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,52.0275212751749,33.5953979492188
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,52.7574542938764,33.8563232421875
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,53.4395069328894,34.3085975646973
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,54.1694399515909,34.5772972106934
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,54.8514925906038,35.1183242797852
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,55.5814256093053,35.5413513183594
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,56.2634782498289,35.9490432739258
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,56.9934112685304,36.2094459533691
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,57.6754639075433,36.7114791870117
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,58.4053969262448,36.633129119873
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,59.0874495652577,37.2373008728027
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,59.8173825839592,37.2363624572754
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,60.4994352229722,37.7205047607422
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,61.2293682416736,37.628589630127
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,61.9593012603751,37.3389167785645
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,62.6413538993881,37.8738059997559
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,63.3712869180896,37.7142333984375
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,64.0533395571025,38.1719398498535
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,64.783272575804,37.8922080993652
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,65.4653252148169,38.3329200744629
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,66.1952582335184,38.0312843322754
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,66.8773108725313,38.4904937744141
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,67.6072438912328,38.1354904174805
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,68.2892965302457,38.3468437194824
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,69.0192295489472,38.0189895629883
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,69.7012821879601,38.1728897094727
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,70.4312152066616,37.2741775512695
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,71.1132678456745,37.177677154541
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,71.843200864376,36.7511329650879
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,72.525253503389,36.5759010314941
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,73.2551865220905,36.0390090942383
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,73.9372391611034,35.8014793395996
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,74.6671721798049,35.4585876464844
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,75.3492248188178,35.1468544006348
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,76.0791578375193,35.1466407775879
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,76.7612104765322,34.8982315063477
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,77.4911434952337,35.3192253112793
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,78.1731961342466,34.7263832092285
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,78.9031291529481,34.7838592529297
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,79.585181791961,34.201343536377
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,80.3151148106625,34.066089630127
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,80.9971674496754,33.4115295410156
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,81.7271004683769,33.4281272888184
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,82.4091531073898,32.5544090270996
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,83.1390861260913,32.5354957580566
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,83.8690191447928,32.7818717956543
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,84.5510717838058,32.432933807373
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,85.2810048025073,32.4951400756836
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,85.9630574415202,32.0385627746582
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,86.692990458436,32.0497512817383
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,87.3750430974489,31.4061069488525
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,88.1049761161504,31.4276714324951
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,88.7870287551633,30.8199634552002
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,89.5169617738648,30.768497467041
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,90.1990144128777,30.2012004852295
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,90.9289474315792,30.1967163085938
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,91.6110000705922,29.5605049133301
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,92.3409330892937,29.4972362518311
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,93.0229857283066,28.7368068695068
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,93.7529187470081,28.5759716033936
p01_top_surface_aligned_4d39dc8b_1044_4f4a_a845_61f0e61d1247,94.434971386021,28.0676441192627
