X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1,plane_predicted_m,plane_residual_m
67923.083693663,224205.847616661,1,P02,perimeter_tin,,0.0,76.2390826108511,5.5661768913269,5.537430580668797,0.028746310658102736
67923.3335343766,224205.856539544,2,P02,perimeter_tin,,0.25,87.9545915114574,5.57330417633057,5.535924022843119,0.03738015348745094
67923.5833750901,224205.865462427,3,P02,perimeter_tin,,0.5,87.9545915114574,5.56435632705688,5.534417465017668,0.029938862039212033
67923.8332158037,224205.874385309,4,P02,perimeter_tin,,0.75,87.9545915114574,5.56618738174438,5.532910907196765,0.03327647454761529
67924.079516642,224205.847189885,5,P02,perimeter_tin,,1.0,103.240519915613,5.56306266784668,5.5315958411033535,0.03146682674332624
67924.3228709341,224205.789930052,6,P02,perimeter_tin,,1.25,103.240519915613,5.57158136367798,5.53044017023808,0.04114119343990019
67924.5662252262,224205.732670218,7,P02,perimeter_tin,,1.5,103.240519915613,5.58217573165894,5.529284499377354,0.052891232281585765
67924.8095795183,224205.675410385,8,P02,perimeter_tin,,1.75,103.240519915613,5.58350086212158,5.5281288285118535,0.055372033609726756
67925.0529338104,224205.618150551,9,P02,perimeter_tin,,2.0,103.240519915613,5.58501291275024,5.526973157651582,0.05803975509865733
67925.2945119853,224205.555229325,10,P02,perimeter_tin,,2.25,111.595310448805,5.58787631988525,5.525854660388859,0.06202165949639138
67925.5269636386,224205.463217213,11,P02,perimeter_tin,,2.5,111.595310448805,5.58797407150269,5.524927178492362,0.06304689301032784
67925.7594152918,224205.3712051,12,P02,perimeter_tin,,2.75,111.595310448805,5.60161304473877,5.5239996966008675,0.07761334813790288
67925.9918669451,224205.279192987,13,P02,perimeter_tin,,3.0,111.595310448805,5.60320138931274,5.523072214708918,0.08012917460382152
67926.2243185984,224205.187180874,14,P02,perimeter_tin,,3.25,111.595310448805,5.59880638122559,5.522144732817196,0.07666164840839418
67926.4567702517,224205.095168762,15,P02,perimeter_tin,,3.5,111.595310448805,5.5907998085022,5.521217250920927,0.06958255758127319
