X,Y,fid,profile_id,section_id,orientation,notes,distance,angle,dsm_1,tin_1,height_1
67934.1531918337,224203.789475745,1,P02_LONG,C-C',longitudinal,Main ridge profile,0,212.351971855461,5.49342393875122,,
67934.0996799488,224203.704998067,2,P02_LONG,C-C',longitudinal,Main ridge profile,0.1,212.351971855461,5.49790096282959,,
67934.0461680638,224203.620520388,3,P02_LONG,C-C',longitudinal,Main ridge profile,0.2,212.351971855461,5.50237321853638,,
67933.9926561789,224203.53604271,4,P02_LONG,C-C',longitudinal,Main ridge profile,0.3,212.351971855461,5.49791955947876,,
67933.9391442939,224203.451565031,5,P02_LONG,C-C',longitudinal,Main ridge profile,0.4,212.351971855461,5.49397230148315,,
67933.885632409,224203.367087352,6,P02_LONG,C-C',longitudinal,Main ridge profile,0.5,212.351971855461,5.49280643463135,,
67933.832120524,224203.282609674,7,P02_LONG,C-C',longitudinal,Main ridge profile,0.6,212.351971855461,5.48814678192139,,
67933.778608639,224203.198131995,8,P02_LONG,C-C',longitudinal,Main ridge profile,0.7,212.351971855461,5.48156929016113,,
67933.7250967541,224203.113654317,9,P02_LONG,C-C',longitudinal,Main ridge profile,0.8,212.351971855461,5.47716045379639,,
67933.6715848691,224203.029176638,10,P02_LONG,C-C',longitudinal,Main ridge profile,0.9,212.351971855461,5.47422981262207,,
67933.6180729842,224202.94469896,11,P02_LONG,C-C',longitudinal,Main ridge profile,1,212.351971855461,5.47141647338867,,
67933.5645610992,224202.860221281,12,P02_LONG,C-C',longitudinal,Main ridge profile,1.1,212.351971855461,5.4698748588562,,
67933.5110492143,224202.775743603,13,P02_LONG,C-C',longitudinal,Main ridge profile,1.2,212.351971855461,5.47412395477295,,
67933.4575373293,224202.691265924,14,P02_LONG,C-C',longitudinal,Main ridge profile,1.3,212.351971855461,5.47599124908447,,
67933.4040254444,224202.606788246,15,P02_LONG,C-C',longitudinal,Main ridge profile,1.4,212.351971855461,5.47585105895996,,
67933.3505135594,224202.522310567,16,P02_LONG,C-C',longitudinal,Main ridge profile,1.5,212.351971855461,5.47285509109497,,
67933.2970016744,224202.437832889,17,P02_LONG,C-C',longitudinal,Main ridge profile,1.6,212.351971855461,5.47857236862183,,
67933.2434897895,224202.35335521,18,P02_LONG,C-C',longitudinal,Main ridge profile,1.7,212.351971855461,5.47958278656006,,
67933.1899779045,224202.268877532,19,P02_LONG,C-C',longitudinal,Main ridge profile,1.8,212.351971855461,5.47699213027954,,
67933.1364660196,224202.184399853,20,P02_LONG,C-C',longitudinal,Main ridge profile,1.9,212.351971855461,5.4712119102478,,
67933.0829541346,224202.099922175,21,P02_LONG,C-C',longitudinal,Main ridge profile,2,212.351971855461,5.4686861038208,,
67933.0294422497,224202.015444496,22,P02_LONG,C-C',longitudinal,Main ridge profile,2.1,212.351971855461,5.46540927886963,,
67932.9759303647,224201.930966818,23,P02_LONG,C-C',longitudinal,Main ridge profile,2.2,212.351971855461,5.4620041847229,,
67932.9224184797,224201.846489139,24,P02_LONG,C-C',longitudinal,Main ridge profile,2.3,212.351971855461,5.46445798873901,,
67932.8689065948,224201.762011461,25,P02_LONG,C-C',longitudinal,Main ridge profile,2.4,212.351971855461,5.47438669204712,,
67932.8153947098,224201.677533782,26,P02_LONG,C-C',longitudinal,Main ridge profile,2.5,212.351971855461,5.48740530014038,,
67932.7618828249,224201.593056104,27,P02_LONG,C-C',longitudinal,Main ridge profile,2.6,212.351971855461,5.49442863464355,,
67932.7083709399,224201.508578425,28,P02_LONG,C-C',longitudinal,Main ridge profile,2.7,212.351971855461,5.50604009628296,5.50478315353394,0.00125694274902344
67932.654859055,224201.424100746,29,P02_LONG,C-C',longitudinal,Main ridge profile,2.8,212.351971855461,5.51641988754272,5.51968765258789,0
67932.60134717,224201.339623068,30,P02_LONG,C-C',longitudinal,Main ridge profile,2.9,212.351971855461,5.53626823425293,5.52694177627563,0.00932645797729492
67932.5478352851,224201.255145389,31,P02_LONG,C-C',longitudinal,Main ridge profile,3,212.351971855461,5.58815813064575,5.52877569198608,0.059382438659668
67932.4943234001,224201.170667711,32,P02_LONG,C-C',longitudinal,Main ridge profile,3.1,212.351971855461,5.64438915252686,5.53060960769653,0.113779544830322
