X,Y,fid,pile_id,base_mode,notes,distance,angle,dsm_1
67923.083693663,224205.847616661,1,P02,perimeter_tin,,0,76.2390826108511,5.5661768913269
67923.3335343766,224205.856539544,2,P02,perimeter_tin,,0.25,87.9545915114574,5.57330417633057
67923.5833750901,224205.865462427,3,P02,perimeter_tin,,0.5,87.9545915114574,5.56435632705688
67923.8332158037,224205.874385309,4,P02,perimeter_tin,,0.75,87.9545915114574,5.56618738174438
67924.079516642,224205.847189885,5,P02,perimeter_tin,,1,103.240519915613,5.56306266784668
67924.3228709341,224205.789930052,6,P02,perimeter_tin,,1.25,103.240519915613,5.57158136367798
67924.5662252262,224205.732670218,7,P02,perimeter_tin,,1.5,103.240519915613,5.58217573165894
67924.8095795183,224205.675410385,8,P02,perimeter_tin,,1.75,103.240519915613,5.58350086212158
67925.0529338104,224205.618150551,9,P02,perimeter_tin,,2,103.240519915613,5.58501291275024
67925.2945119853,224205.555229325,10,P02,perimeter_tin,,2.25,111.595310448805,5.58787631988525
67925.5269636386,224205.463217213,11,P02,perimeter_tin,,2.5,111.595310448805,5.58797407150269
67925.7594152918,224205.3712051,12,P02,perimeter_tin,,2.75,111.595310448805,5.60161304473877
67925.9918669451,224205.279192987,13,P02,perimeter_tin,,3,111.595310448805,5.60320138931274
67926.2243185984,224205.187180874,14,P02,perimeter_tin,,3.25,111.595310448805,5.59880638122559
67926.4567702517,224205.095168762,15,P02,perimeter_tin,,3.5,111.595310448805,5.5907998085022
67926.6892219049,224205.003156649,16,P02,perimeter_tin,,3.75,111.595310448805,5.58770275115967
67926.9216735582,224204.911144536,17,P02,perimeter_tin,,4,111.595310448805,5.58866834640503
67927.1541252115,224204.819132423,18,P02,perimeter_tin,,4.25,111.595310448805,5.59040403366089
67927.3865768647,224204.727120311,19,P02,perimeter_tin,,4.5,111.595310448805,5.58532428741455
67927.6115563865,224204.619009742,20,P02,perimeter_tin,,4.75,118.20162821843,5.59083127975464
67927.8318788922,224204.50086579,21,P02,perimeter_tin,,5,118.20162821843,5.58961534500122
67928.0522013979,224204.382721838,22,P02,perimeter_tin,,5.25,118.20162821843,5.59127759933472
