fid,profile_id,section_id,orientation,notes,distance,angle
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.09999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.19999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.29999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.39999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.49999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.59999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.69999999999999,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.79999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.89999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,8.99999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.09999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.19999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.29999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.39999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.49999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.59999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.69999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.79999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.89999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,9.99999999999998,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.1,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.2,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.3,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.4,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.5,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.6,212.351971855461
1,P02_LONG,C-C',longitudinal,Main ridge profile,10.7,212.351971855461
