method,valid_cells,cell_area_ft2,volume_ft3,volume_yd3,difference_pct
Sloping TIN base,11838,0.997948606,114403.88,4237.18,0.00
Constant floor 8.005 ft,11838,0.997948606,117753.61,4361.24,2.93
